Name,Platform,About,URL Pic,URL Trailer
FIFA 17,PS4,"FIFA 17 immerses you in authentic football experiences by leveraging the sophistication of a new game engine, while introducing you to football players full of depth and emotion, and taking you to brand new worlds accessible only in the game. Complete innovation in the way players think and move, physically interact with opponents, and execute in attack lets you own every moment on the pitch.",https://cdn.homeshopping.pk/product_images/l/658/cover_large__46020_zoom.jpg,https://www.youtube.com/watch?v=-CTdaJtIrD4&feature=youtu.be
Uncharted 4: A Thiefs End,PS4,"Set three years after the events of UNCHARTED 3: Drake’s Deception, Nathan Drake has presumably left the world of fortune hunting behind. However, it doesn’t take long for adventure to come calling when Drake’s brother, Sam, resurfaces seeking his help to save his own life and offering an adventure Drake can’t resist. On the hunt for Captain Henry Avery’s long-lost treasure, Sam and Drake set off to find Libertalia, the pirate utopia deep in the forests of Madagascar. UNCHARTED 4: A Thief’s End takes players on a journey around the globe, through jungle isles, urban cities and snow-capped peaks on the search for Avery’s fortune.",http://vignette1.wikia.nocookie.net/uncharted/images/7/7d/Uncharted_4_A_Thief%27s_End_cover_art.jpg/revision/latest?cb=20150603164139,https://www.youtube.com/watch?v=y1Rx-Bbht5E
Call of Duty: Infinite Warfare,PS4,"ncludes the Terminal Bonus Map and Zombies in Spaceland Pack, contains a weapon camo, calling card, and a Fate and Fortune Card Pack!

Infinite Warfare delivers three unique game modes: Campaign, Multiplayer, and Zombies.

In Campaign, players play as Captain Reyes, a pilot turned Commander, who must lead the remaining coalition forces against a relentless, fanatical enemy, while trying to overcome the deadly, extreme environments of space.

Multiplayer combines a fluid momentum based movement system, player focused map design, deep customization, and a brand new combat rig system to create an intense gameplay experience where every second counts. Combat Rigs (Rigs) are the ultimate combat systems. Each Rig is a cutting-edge, tactical combat suit worn by the player and is built for totally different styles of play. Players will also join one of four brand-new Mission Teams to unlock calling cards, camos, emblems, and weapons unique to that team.

In Zombies, go back in time to fight the undead in a 1980s amusement park, complete with a plethora of rides, an awesome arcade, and a funky, functioning rollercoaster. Embrace previously beloved aspects of the mode like easter eggs, power ups, and novel weapons while experiencing innovations like brand-new team mechanics, the After Life Arcade, and Fate and Fortune Cards.",http://cdn4.dualshockers.com/wp-content/uploads/2016/05/COD-Infinite-Warfare_Legacy-Edition_PS4.jpg,https://www.youtube.com/watch?v=EeF3UTkCoxY
Battlefield 1,PS4,"While many elements from past installments return, Battlefield 1 presents vehicles in a much more prominent role than commonly seen in WWI settings, featuring first-generation tanks, bi- and triplanes, and airships. Unarmored cavalry—soldiers on horseback—will also make a first appearance. Due to the prevalence of trench warfare during World War I, melee combat features an increased focus from past installments. Chemical weapons like Mustard Gas, which were used extensively during World War I, are also present and can be combated via a vision-obscuring Gas Mask.",https://images-na.ssl-images-amazon.com/images/I/71zuJC%2BcggL._SL1500_.jpg,https://www.youtube.com/watch?v=c7nRTF2SowQ
Tom Clancys The Division,PS4,"We live in a complex world. The more advanced it gets, the more vulnerable it becomes. We’ve created a house of cards: remove just one, and everything falls apart.

Black Friday – a devastating pandemic sweeps through New York City, and one by one, basic services fail. In only days, without food or water, society collapses into chaos. The Division, an autonomous unit of tactical agents, is activated. Leading seemingly ordinary lives among us, these agents are trained to operate independently in order to save society.

When society falls, we rise.",https://s-media-cache-ak0.pinimg.com/originals/d0/f8/b3/d0f8b3398e1eca3d1a1cfed2bc4ea3cd.jpg,https://www.youtube.com/watch?v=yPq_NVi-TC4
Call of Duty: Infinite Warfare,XOne,"ncludes the Terminal Bonus Map and Zombies in Spaceland Pack, contains a weapon camo, calling card, and a Fate and Fortune Card Pack!

Infinite Warfare delivers three unique game modes: Campaign, Multiplayer, and Zombies.

In Campaign, players play as Captain Reyes, a pilot turned Commander, who must lead the remaining coalition forces against a relentless, fanatical enemy, while trying to overcome the deadly, extreme environments of space.

Multiplayer combines a fluid momentum based movement system, player focused map design, deep customization, and a brand new combat rig system to create an intense gameplay experience where every second counts. Combat Rigs (Rigs) are the ultimate combat systems. Each Rig is a cutting-edge, tactical combat suit worn by the player and is built for totally different styles of play. Players will also join one of four brand-new Mission Teams to unlock calling cards, camos, emblems, and weapons unique to that team.

In Zombies, go back in time to fight the undead in a 1980s amusement park, complete with a plethora of rides, an awesome arcade, and a funky, functioning rollercoaster. Embrace previously beloved aspects of the mode like easter eggs, power ups, and novel weapons while experiencing innovations like brand-new team mechanics, the After Life Arcade, and Fate and Fortune Cards.",http://www.gamingdragons.com/images/game_img/iw_xb1.jpg,https://www.youtube.com/watch?v=EeF3UTkCoxY
Battlefield 1,XOne,"While many elements from past installments return, Battlefield 1 presents vehicles in a much more prominent role than commonly seen in WWI settings, featuring first-generation tanks, bi- and triplanes, and airships. Unarmored cavalry—soldiers on horseback—will also make a first appearance. Due to the prevalence of trench warfare during World War I, melee combat features an increased focus from past installments. Chemical weapons like Mustard Gas, which were used extensively during World War I, are also present and can be combated via a vision-obscuring Gas Mask.",http://www.cdkeys.com/media/catalog/product/cache/1/image/650x/040ec09b1e35df139433887a97daa66f/b/a/battlefield_1_xbox_one_cover.png,https://www.youtube.com/watch?v=c7nRTF2SowQ
Final Fantasy XV,PS4,"Enroute to wed his fiancée Luna on a road trip with his best friends, Prince Noctis is advised by news reports that his homeland has been invaded and taken over under the false pretense of a peace treaty – and that he, his loved one and his father King Regis, have been slain at the hands of the enemy.

To gather the strength needed to uncover the truth and reclaim his homeland, Noctis and his loyal companions must overcome a series of challenges in a spectacular open world - that is filled with larger-than-life creatures, amazing wonders, diverse cultures and treacherous foes.",https://gamehypermart.com/image/GHM/CONSOLE/PS4/Games/Final%20Fantas%20XV/PSN-RM100.jpg,https://www.youtube.com/watch?v=Lb-f9P_tyQQ
FIFA 17,XOne,"FIFA 17 immerses you in authentic football experiences by leveraging the sophistication of a new game engine, while introducing you to football players full of depth and emotion, and taking you to brand new worlds accessible only in the game. Complete innovation in the way players think and move, physically interact with opponents, and execute in attack lets you own every moment on the pitch.",https://media.takealot.com/covers_tsins/44417471/xnb1-zoom.jpg?1471241730,https://www.youtube.com/watch?v=-CTdaJtIrD4&feature=youtu.be
Overwatch,PS4,"In a time of global crisis, an international task force of heroes banded together to restore peace to a war-torn world. This organization, known as Overwatch, ended the crisis and helped maintain peace for a generation, inspiring an era of exploration, innovation, and discovery. After many years, Overwatch's influence waned and it was eventually disbanded. Now in the wake of its dismantling, conflict is rising once again. Overwatch may be gone... but the world still needs heroes.",https://i5.walmartimages.com/asr/8fbf57d9-712b-4c2a-be1f-85a90118bd57_1.ac7f7af0f4f933e28727ac6b5b5cd057.jpeg,https://www.youtube.com/watch?v=pYC44YPb_5k
