Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
FIFA 17,PS4,2016,Sports,Electronic Arts,0.9,6.75,0.09,1.33,9.07,85,41,4.9,442,E
Uncharted 4: A Thiefs End,PS4,2016,Shooter,Sony Computer Entertainment,2.92,2.98,0.19,1.18,7.28,93,113,7.9,7238,T
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,2.15,2.57,0.16,0.93,5.8,77,86,3.5,1208,M
Battlefield 1,PS4,2016,Shooter,Electronic Arts,1.45,2.81,0.23,0.81,5.3,89,33,8.4,896,M
Tom Clancys The Division,PS4,2016,Shooter,Ubisoft,1.37,1.85,0.15,0.63,4,80,64,7,2234,M
Call of Duty: Infinite Warfare,XOne,2016,Shooter,Activision,2.25,0.98,0,0.33,3.56,78,18,3.2,315,M
Battlefield 1,XOne,2016,Shooter,Electronic Arts,2.14,0.97,0.01,0.32,3.44,87,38,8.1,470,M
Final Fantasy XV,PS4,2016,Role-Playing,Square Enix,1.01,1.12,0.81,0.42,3.37,82,102,7.7,2659,T
FIFA 17,XOne,2016,Sports,Electronic Arts,0.72,2.3,0,0.22,3.24,84,51,5.4,210,E
Overwatch,PS4,2016,Shooter,Activision,0.99,1.03,0.16,0.4,2.57,90,31,6.1,1408,T
NBA 2K17,PS4,2016,Sports,Take-Two Interactive,1.57,0.37,0.02,0.43,2.39,88,47,6.6,174,E
Far Cry: Primal,PS4,2016,Action,Ubisoft,0.63,1.32,0.07,0.37,2.38,76,91,6.3,648,M
Madden NFL 17,PS4,2016,Sports,Electronic Arts,1.65,0.25,0,0.43,2.33,82,35,4.6,93,E
Tom Clancys The Division,XOne,2016,Shooter,Ubisoft,1.37,0.72,0,0.21,2.3,80,33,6.9,621,M
Gears of War 4,XOne,2016,Shooter,Microsoft Game Studios,1.45,0.59,0,0.21,2.26,84,98,6.3,848,M
Mafia III,PS4,2016,Action,Take-Two Interactive,0.48,1.24,0.03,0.32,2.07,68,66,5.1,1194,M
Watch Dogs 2,PS4,2016,Action,Ubisoft,0.56,1.1,0.07,0.31,2.04,82,94,7.9,723,M
Madden NFL 17,XOne,2016,Sports,Electronic Arts,1.57,0.02,0,0.19,1.78,83,30,5.7,43,E
No Mans Sky,PS4,2016,Action,Hello Games,0.66,0.77,0.03,0.28,1.75,71,94,4.5,5146,T
Dark Souls III,PS4,2016,Role-Playing,Namco Bandai Games,0.69,0.47,0.34,0.24,1.74,89,69,8.7,1979,M
Forza Horizon 3,XOne,2016,Racing,Microsoft Game Studios,0.62,0.85,0.01,0.13,1.61,91,91,7.4,619,E
Overwatch,XOne,2016,Shooter,Activision,0.81,0.4,0,0.12,1.33,91,18,5.6,685,T
NBA 2K17,XOne,2016,Sports,Take-Two Interactive,1.1,0.06,0,0.14,1.3,90,17,6,98,E
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.45,0.49,0.11,0.19,1.23,79,60,8.3,208,T
Pokken Tournament,WiiU,2016,Fighting,Namco Bandai Games,0.56,0.32,0.18,0.09,1.13,76,74,8,276,E10+
Dishonored 2,PS4,2016,Action,Bethesda Softworks,0.41,0.51,0.01,0.18,1.1,88,62,7.7,629,M
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,0.59,0.32,0.09,0.09,1.09,86,74,8.4,340,T
Titanfall 2,PS4,2016,Shooter,Electronic Arts,0.46,0.38,0.05,0.17,1.06,89,61,8.4,769,M
Kirby: Planet Robobot,3DS,2016,Action,Nintendo,0.3,0.18,0.5,0.05,1.03,81,71,8.7,92,E
EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,0.32,0.51,0,0.16,0.99,79,38,6.1,161,T
Street Fighter V,PS4,2016,Fighting,Capcom,0.42,0.28,0.09,0.15,0.94,77,80,3.4,1233,T
Far Cry: Primal,XOne,2016,Action,Ubisoft,0.5,0.35,0,0.08,0.94,77,27,6.4,199,M
Dragon Ball: Xenoverse 2,PS4,2016,Action,Namco Bandai Games,0.29,0.38,0.1,0.13,0.91,72,57,7.7,123,T
Titanfall 2,XOne,2016,Shooter,Electronic Arts,0.58,0.23,0,0.08,0.9,87,31,8,279,M
Lego Star Wars: The Force Awakens,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.19,0.55,0.01,0.14,0.89,78,61,7.5,91,E10+
Farming Simulator 17,PC,2016,Simulation,Focus Home Interactive,0.04,0.77,0,0.05,0.86,68,11,7.9,21,E
LEGO Marvels Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.28,0.4,0.01,0.13,0.82,71,70,7,87,E10+
WWE 2K17,PS4,2016,Sports,Take-Two Interactive,0.22,0.45,0,0.13,0.8,69,51,6.9,93,T
Mafia III,XOne,2016,Action,Take-Two Interactive,0.34,0.33,0,0.06,0.73,67,21,4.6,286,M
Watch Dogs 2,XOne,2016,Action,Ubisoft,0.33,0.31,0,0.06,0.7,83,10,7.5,160,M
